,Name,External Key,Reference Data Extensions,Description,Date Created,Date Modified
41,remove users from all contacts,e92b0d74-3805-4b06-893b-bd6cea7c1287,"Users to Delete
AllContacts_Step1",,2021-12-14 10:26:00,2021-12-14 10:59:00
42,Remove Welcome Journey Expired,614d4b83-3501-4d95-946b-50f30a41c2b5,"Ryman Welcome Journey Expired
Ryman Welcome Journey",,2020-11-05 11:58:00,2021-03-10 12:29:00
43,Remove_Expired_From_ACL_Welcome_DE,89616ab3-4e57-46c6-899e-ae6f996c14d9,"ACL_Welcome_Expired
ACL_Welcome_Journey",,2023-01-05 15:10:00,2023-01-05 15:10:00
44,Restart In-Venue,85bf9025-68f0-4b12-a55e-520548828ed5,Automation,,2021-09-15 16:22:00,2021-10-04 13:58:00
45,Restart In-Venue 2,1dc63fae-2d99-48ba-86ef-a2580f10ba07,Automation,,2021-09-15 16:23:00,2021-10-04 14:35:00
46,Ryman Remove Arrival Journey,170d827e-0db1-4a42-859e-a9a28098a7bf,"Missing
Ryman Arrival Journey 1 Day","Source DE is the expired DE, destination shou...",2021-12-22 14:01:00,2021-12-22 14:03:00
47,Ryman Remove Arrival Matrix,e66c0b25-3320-4cb0-a3cc-24a7c7c30325,"Missing
Ryman Arrival Matrix 1 Day","Source DE is the expired DE, destination shou...",2021-12-22 14:04:00,2021-12-22 14:04:00
48,Ryman Remove Post Journey,A48096E2-9709-4E00-829E-3794F9F66BCB,"Ryman Post Journey Expired
Ryman Post Journey","Source DE is the expired DE, destination shou...",2022-02-07 10:43:00,2022-08-12 14:00:00
49,Ryman Remove Post Journey Records,829b9b06-84a5-44bf-bb55-be0470971f35,"Missing
Ryman Post Journey",,2022-08-12 13:12:00,2022-08-12 13:24:00
50,Ryman Remove Post Matrix,ab1e0b3e-0936-46a1-b052-314b4c960463,"Ryman Post Journey Expired
Ryman Post Matrix","Source DE is the expired DE, destination shou...",2022-02-07 10:44:00,2022-08-12 14:01:00
51,Ryman Remove Purchase Journey,c787ea7c-25a0-4da8-ad7c-781dbb99dda2,"Ryman Purchase Journey Expired
Ryman Purchase Journey","Source DE is the expired DE, destination shou...",2021-11-26 09:28:00,2021-11-26 09:28:00
52,Ryman Remove Purchase Matrix,1027a89c-e407-4eaa-9d76-8ddedcced8ec,"Ryman Purchase Journey Expired
Ryman Purchase Matrix","Source DE is the expired DE, destination shou...",2021-11-26 09:30:00,2021-11-26 09:47:00
53,SMS_Delete_Duplicate_Contacts,0271e294-2d50-45de-99bd-89bff8234b5b,"SMS_Delete_Duplicate_Contacts
API_Token_Store
API_Error_Log",,2022-11-04 20:03:00,2023-01-04 20:12:00
54,SMS_Duplicate_Contacts_2of2,65063fac-b8ae-45ab-8369-9948bf64db3c,Automation,,2022-12-02 11:45:00,2023-01-04 20:43:00
55,test kick off,51f410f9-53b8-4af0-be94-ddb68f131a2e,Automation,,2021-09-27 14:05:00,2021-09-27 14:07:00
