,Name,External Key,Reference Data Extensions,Data Extension Keys,Date Created,Date Modified
34,OEG_Customer_Master_Backup,6729F8AF-E5B9-4BA9-9F08-CE8887013656,AllContacts_Step1,809C6EC1-D744-4265-8AC0-EE6F02703916,2021-01-21 12:38:00,2022-03-09 16:08:00
35,Opry Contact Us,79721212-43D6-4F41-90C9-9BBE8CCE8D54,Opry_Contact_Us,69C44F14-1316-493D-8E49-582AAB631EFB,2022-08-10 09:28:00,2022-08-10 10:14:00
36,Opry Show Upsell to Dato,E954621A-ACDD-4257-83DF-CDCE9BC92B9A,Opry_Show_To_Dato,E954621A-ACDD-4257-83DF-CDCE9BC92B9A,2022-04-01 10:15:00,2022-04-01 10:15:00
37,Opry Tour Upsell to Dato,1AB3F7CB-684F-41B6-A4B3-19BBF6E6DF83,Opry_Tour_to_Dato,1AB3F7CB-684F-41B6-A4B3-19BBF6E6DF83,2022-04-01 10:16:00,2022-04-01 10:16:00
38,Product_Breakout_to_Dato,266E69D7-DA93-4119-879E-28A46C9E71DF,Product_Breakout_to_dato,266E69D7-DA93-4119-879E-28A46C9E71DF,2022-05-03 16:32:00,2022-05-03 16:32:00
39,Purchase Cross to Dato,8A66841B-4B5A-455A-BD5F-C41C83AB0185,Purchase_Cross_to_Dato,8A66841B-4B5A-455A-BD5F-C41C83AB0185,2022-05-03 15:32:00,2022-05-03 15:32:00
40,Purchase Crossover,4C28C141-0A21-4115-B84B-BB35D2E3FFD0,Purchase_Crossover_Total,48930C40-BD47-42E3-9CF1-9B0157FE4CBA,2021-09-01 14:45:00,2021-09-01 14:59:00
41,Repeaters_to_Dato,8AF42C43-7F7C-474F-8AB7-F5CF8778421F,Repeaters,8AF42C43-7F7C-474F-8AB7-F5CF8778421F,2022-05-05 16:03:00,2022-05-05 16:03:00
42,Repeats to All Subs,E71D45FB-12EB-44FC-BA9F-24C90792C1F7,Add_Opry_Repeat_to_All_Subs,89177FF0-3E82-47E3-860E-84AFDB34763E,2022-11-03 14:57:00,2022-11-03 14:57:00
43,Rex reporting,226A1971-EAA7-47B2-A1C4-7D30C1A61D19,Rex_Direct_Reporting,226A1971-EAA7-47B2-A1C4-7D30C1A61D19,2021-12-13 10:41:00,2022-06-20 10:12:00
44,Ryman Upsell to Dato,28D8E950-FB04-47FB-93CC-D5926485BEB2,Ryman_Show_Upsell_to_Dato,28D8E950-FB04-47FB-93CC-D5926485BEB2,2022-04-06 08:36:00,2022-04-06 08:36:00
45,Unsubscribes to All Subscribers,04A72D4A-69B1-448B-AAE4-1D4C29E4B94E,Status_Fix_For_All_Subscribers,04A72D4A-69B1-448B-AAE4-1D4C29E4B94E,2021-04-12 14:52:00,2023-12-15 09:35:00
