,Name,External Key,Target Data Extension,Description,Date Created,Date Modified
41,Magento Customer Data for Staging,BB1CD717-6C28-4CB4-93F0-6A5C29BE05B4,Magento Customer Staging,import Magento Customer Data to Staging,2020-09-14 05:18:00,2021-03-16 10:02:00
42,Magento Transaction Data for Staging,08AB7B8C-E6FE-42D1-A91E-80A1A2460EA1,Magento Transactions to Staging,Magento Transaction Data for Staging,2020-09-15 15:00:00,2021-03-16 10:18:00
43,Mock All Subs,54321D2C-9AC5-4D44-B331-F815EC91DCEE,mockallsubs,,2021-04-22 15:07:00,2021-05-06 11:03:00
44,MyPlaceConnect - Grand OLE Opry,904B7AA4-DCB1-48C5-B9F2-42F03D01BB07,MyPlaceConnectStaging-Opry,MyPlaceConnect Import -Grand OLE Opry (Opry –...,2021-09-27 15:36:00,2021-09-27 15:36:00
45,MyPlaceConnect - Ole Red Gatlinburg,81FE319C-EBF6-46BB-B7E9-F5EB984F46BE,MyPlaceConnectStaging-ORG,MyPlaceConnect Import - Ole Red Gatlinburg (...,2020-09-16 10:07:00,2021-09-27 17:07:00
46,MyPlaceConnect - Ole Red Nashville,06BEB014-58EC-41B5-A9F0-161AFA8BAA5C,MyPlaceConnectStaging-ORN,MyPlaceConnect Import - Ole Red Nashville (OR...,2020-09-01 10:41:00,2021-09-28 08:27:00
47,MyPlaceConnect - Ole Red Orlando,3C6A9441-1720-4C03-8E46-A79735B6A73F,MyPlaceConnectStaging-ORO,MyPlaceConnect Import - Ole Red Orlando (ORO...,2020-09-16 10:08:00,2021-09-28 08:32:00
48,MyPlaceConnect - Ole Red Tishomingo,A7D227D5-412A-4E8F-B386-31BDA53FE4A1,MyPlaceConnectStaging-ORT,MyPlaceConnect Import - Ole Red Tishomingo (O...,2020-09-16 10:04:00,2021-09-28 08:35:00
49,MyPlaceConnect - Ryman Auditorium,782D3193-C6EB-426E-8FAC-4DE59022F52F,MyPlaceConnectStaging-Ryman,MyPlaceConnect Import - Ryman (Ryman– p4slq39...,2020-11-25 13:39:00,2021-04-22 11:18:00
50,Import All records from POS,22585224-C728-48F4-B4B1-626DA0F79999,NetSuite_AllRecords_Staging,NetSuite POS import files to NetSuite_POS_Al...,2021-10-11 13:37:00,2022-10-13 07:39:00
51,NetSuite Staging Import,34D9794B-6359-4FDD-8E7B-06C34E06D4F2,NetSuite_Staging,Import for NetSuite Staging,2020-09-04 12:39:00,2021-03-17 14:06:00
52,Opry Click data,1AF3C089-162B-4DA0-A2FD-04BE24B714DD,Opry_Click_Model_Score,,2022-12-22 15:11:00,2022-12-22 15:11:00
53,Opry No Click Data,14A35D08-B2B1-42CC-9BA2-6DD5A950B0EE,Opry_No_Click_Model_Score,,2022-12-22 15:12:00,2022-12-22 15:12:00
54,Opry_Photo_Package,205DF915-22C4-440E-B9A2-8EA36B7B3A8B,Opry_Photo_Package,To check for files starting with GOO Opt In C...,2023-12-05 09:04:00,2023-12-12 12:42:00
55,Photobooth Import,86061955-145F-4F0F-A8A6-4470A7B2FBC6,Photobooth_landing,,2022-03-30 16:45:00,2022-06-10 14:49:00
56,Ready Pay Import,B8E6FC97-DFC3-4746-BDD8-DD56E4AB0B76,Ready_Pay_Data_Import,,2023-05-08 15:59:00,2023-05-10 11:37:00
57,REX Direct Import,6EB989D5-AFF3-4F94-8D98-97B843748231,REX_Direct_Staging,,2021-11-30 13:23:00,2021-12-16 12:22:00
58,Ryman_Photo_Package,B2ECF1CC-ED42-46D4-AFFD-19D3193C46D1,Ryman_Photo_Package,To read in the dropped file that starts with ...,2023-12-05 08:57:00,2023-12-12 12:44:00
59,Lytics Import Historical,5529CA03-5A29-4D35-89F3-7CDCF8C70A11,Send_Historical_1_0_Lytics,,2020-10-14 11:08:00,2020-10-14 11:08:00
60,Lytics Import Historical V2,7174813D-97BE-42FD-8060-0B5425D78FDC,Send_Historical_1_0_Lytics,This includes all files.,2020-10-15 14:16:00,2020-10-15 14:16:00
61,Spotify Data Import,8E5A0438-4411-4489-A6DC-A036A1136DBD,Spotify_Staging,Import of Spotify Simiar Artist Data,2020-11-17 08:23:00,2021-10-07 17:08:00
62,AudienceView Admission Detail Clean,F7941436-F31F-4710-B438-B96BB74B4107,Ticket_Admission_Sales_DETAIL_Staging_Clean,Load of AudienceView Events to Data Extension...,2021-01-25 14:14:00,2021-03-25 11:32:00
63,TicketMaster Import ACL,E79452EA-94B4-446A-8DE5-8E923709CA1A,TicketMaster_ACL_Staging,,2022-08-25 10:29:00,2022-08-25 10:56:00
64,TicketMaster Import,B16642F1-B67E-42B1-91B2-A3BFE3C5C899,TicketMaster_Staging,Import TicketMaster source data to data exten...,2020-08-19 13:09:00,2022-03-18 15:11:00
65,Photbooth Backfill,8960412F-49BB-4EA7-BCA7-8A12846B6C10,,,2024-01-10 12:18:00,2024-01-10 12:26:00
