,Path,Automation Name,Activities,Status,Next Run,Last Run Status,Last Run,Last Modified
107,NetSuite,NetSuite 2016 to date,"Import All records from POS (Import)
Netsuite Historical
Netsuite Ongoing",Scheduled,2024-02-23 08:00:00,Complete,2024-02-22 08:06:00,2024-02-22 08:06:00
108,NetSuite,NetsuitePOS_AllRecords,Update NetSuite_POS_AllRecords,Active File Drop,--,Complete,2024-02-22 03:32:00,2024-02-22 03:32:00
109,Marketing/Visitation,Next Visit,"TM Ryman Next Visit
	TM Opry Next Visit
AV Ryman Next Visit
AV Opry Next Visit
AV ORN Next Visit
AV ORG Next Visit
AV ORT Next Visit
AV ORO Next Visit
Clear Next Opry Visit
Next_Opry_Visit
Next_Ryman_Visit_Date",Scheduled,2024-02-22 11:30:00,Complete,2024-02-22 10:36:00,2024-02-22 10:36:00
110,OESP,November OESP,"Nashville_Opry_November_LY
Nashville_ACLRyman_November_LY
TNRegion_ACLRyman_November_LY
TNRegion_Opry_November_LY
National_Opry_November_LY
National_ACLRyman_November_LY",Paused Schedule,--,,--,2023-04-25 13:56:00
111,OESP,October OESP,"Nashville_Opry_October_LY
Nashvillle_ACLRyman_October_LY
TNRegion_ACLRyman_October_LY
TNRegion_Opry_October_LY
National_Opry_October_LY
National_ACLRyman_October_LY",Paused Schedule,--,,--,2023-04-25 13:54:00
112,Journeys/Ole Red,Ole Red Welcome Journey,"Ole Red Welcome Journey - Sync to Master
Ole Red Welcome Journey Expired
Ole Red Welcome Journey - Manual Uploads and Uncategorized
Ole Red Welcome Journey - Forms
Ole Red Welcome Journey - WiFi
Photobooth Welcome
Ole Red Welcome Journey - Retail POS
Ole Red Welcome Journey - Shows",Scheduled,2024-02-22 11:30:00,Complete,2024-02-22 10:38:00,2024-02-22 10:38:00
113,One Time Requests,One time 3CTC Update,"3CTC7
3CTC8
3CTC9
3CTC10
3CTC11
3CTC12
3CTC13
3CTC14
3CTC15
3CTC16
3CTC17
3CTC18
3CTC19
3CTC20
3CTC21
3CTC22
3CTC23
3CTC24
3CTC25
3CTC26
3CTC27
3CTC28
3CTC29
3CTC30
3CTC31
3CTC32
3CTC33
3CTC34
3CTC35
3CTC36",Ready,--,Complete,2023-11-03 16:42:00,2023-11-03 16:42:00
114,One Time Requests,One Time Manual Forms_and_Sweeps Correction,Forms_and_Sweeps_Manual_Upload_05052023Correction (Import),Ready,--,Complete,2023-05-05 16:16:00,2023-05-05 16:16:00
115,One Time Requests,One Time Manual Photobooth,"Photobooth Import (Import)
Photobooth Staging
Photobooth Update Allcontacts
Photobooth Archive
delete photobooth from fas
Photobooth staging to forms and sweeps",Ready,--,Complete,2023-09-18 13:43:00,2023-09-18 13:43:00
116,AudienceView,Opry & Ryman Tours (No PII),opry_ryman_tours_no_pii,Scheduled,,,,
